Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain
2024-09-01 11:10,7.125,223.955,1.596371,44.494,822.296,753.495,697.93,212.134,25.204,66.43,961.125,2.905,0
2024-09-01 11:20,7.42,221.808,1.646403,46.12,850.883,779.69,715.948,209.878,25.592,64.993,961.011,2.744,0
2024-09-01 11:30,7.636,221.79,1.694539,48.041,880.573,806.896,744.766,200.702,26.021,63.352,960.918,2.324,0
2024-09-01 11:40,7.826,220.311,1.723886,49.303,897.481,822.389,758.8,191.981,26.442,61.072,960.919,1.817,0
2024-09-01 11:50,8.016,219.3,1.758122,49.235,913.704,837.255,757.542,197.285,26.846,60.231,960.881,2.778,0
2024-09-01 12:00,8.207,219.547,1.801602,48.714,934.214,856.049,779.89,186.563,27.079,59.35,960.734,3.365,0
2024-09-01 12:10,8.318,219.695,1.827158,49.853,946.606,867.404,784.63,184.244,27.108,58.871,960.595,3.348,0
2024-09-01 12:20,8.457,218.856,1.851182,50.152,964.814,884.089,800.373,178.724,27.17,58.516,960.492,3.656,0
2024-09-01 12:30,8.544,218.594,1.867652,51.009,973.978,892.486,800.666,179.537,27.501,57.57,960.418,2.747,0
2024-09-01 12:40,8.642,217.15,1.876445,52.288,984.181,901.835,805.412,178.752,27.835,56.345,960.403,2.995,0
2024-09-01 12:50,8.661,219.241,1.898972,51.058,994.055,910.883,816.768,173.02,28.274,54.392,960.352,3.77,0
2024-09-01 13:00,8.682,219.128,1.902183,50.549,998.855,915.281,823.354,167.67,28.407,53.562,960.296,3.64,0
2024-09-01 13:10,8.765,216.669,1.898837,52.383,1001.784,917.965,830.63,161.179,29.072,51.634,960.183,2.728,0
2024-09-01 13:20,8.73,218.172,1.904246,51.306,1003.381,919.429,837.693,155.662,29.23,50.504,960.054,3.758,0
2024-09-01 13:30,8.725,216.308,1.887689,52.201,1001.504,917.709,831.745,159.734,29.883,48.402,960,3.383,0
2024-09-01 13:40,8.691,216.656,1.88252,51.945,999.445,915.822,828.111,162.61,29.942,47.217,959.859,3.924,0
2024-09-01 13:50,8.616,216.014,1.861124,53.486,991.74,908.762,822.877,163.304,30.4,45.131,959.802,2.905,0
2024-09-01 14:00,8.517,215.802,1.838117,53.551,984.72,902.329,822.358,161.376,30.547,43.806,959.718,3.292,0
2024-09-01 14:10,8.432,216.83,1.82797,52.406,979.417,897.47,827.938,157.179,30.84,42.395,959.614,3.733,0
2024-09-01 14:20,8.281,218.785,1.811662,51.171,970.423,889.228,828.766,154.649,30.9,42.083,959.578,4.186,0
2024-09-01 14:30,8.172,217.857,1.780628,51.768,958.654,878.444,826.164,153.402,30.863,41.712,959.483,3.752,0
2024-09-01 14:40,8.052,216.082,1.739999,52.709,942.9,864.008,820.994,152.985,31.152,40.666,959.445,3.085,0
2024-09-01 14:50,7.828,217.776,1.70442,52.483,928.316,850.644,818.726,151.802,31.501,39.981,959.324,3.754,0
2024-09-01 15:00,7.602,218.439,1.660552,52.861,908.214,832.224,810.921,151.02,31.413,40.332,959.218,3.112,0
2024-09-01 15:10,7.415,217.954,1.616323,52.034,888.258,813.938,806.769,149.22,31.609,39.797,959.126,3.214,0
2024-09-01 15:20,7.206,218.365,1.57311,51.018,867.702,795.102,801.588,148.426,32.1,38.579,959.131,3.16,0
