Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain,PVWatts,rel_error,status
2024-09-01 07:10,0,0,0.00168,0,1.704067564708622,1.5614892,0,1.38188254,19.952,88.1,959.7052,3.4467,0,0.004084821497818928,0.5887213184475678,removed
2024-09-01 07:20,0,0,0.01061,0,7.784591332790427,7.133259,0,7.177576999999999,19.976,88,959.6582,3.6666,0,0.018649220046684636,0.43107540296913427,removed
2024-09-01 07:30,0,0,0.024079999999999997,0,14.393113638446753,13.18885,0,13.18151,19.965,87.9,959.7267,3.4753,0,0.03446253357265144,0.3012701765168753,removed
2024-09-01 07:40,0,0,0.02829,0,20.628887274775455,18.90288,0.03786752,18.89187,20.04,87.6,959.801,3.6129,0,0.049353554578101734,0.42678900756314875,removed
2024-09-01 07:50,0,0,0.04441,0,34.01418775938627,31.168239999999997,0.00688504,30.96701,20.105,87.22999999999999,959.8751,3.728,0,0.08126687006818775,0.45352884929938414,removed
2024-09-01 08:00,0,0,0.06518,0,46.6160155270192,42.715680000000006,0,42.43751,20.156,86.97,959.9876,3.2856,0,0.11121614172303566,0.41393399384129526,removed
2024-09-01 08:10,0,0,0.08679,0,65.29318356218917,59.83014000000001,0.0654106399999999,59.35277,20.306,86.47,960.1033,2.9322,0,0.15539769915826457,0.4414975223564356,removed
2024-09-01 08:20,0,0,0.11620000000000001,0,72.8956801294316,66.79654000000001,0.01032809,66.35670999999999,20.475,85.72999999999999,960.2621,3.3116,0,0.17329789536075532,0.32947829655919514,removed
2024-09-01 08:30,0,0,0.10817,0,84.892005888083,77.78914,0.01032747,77.73696,20.433,85.66,960.3902,3.9054,0,0.20172279610457547,0.46376908267758,removed
2024-09-01 08:40,0,0,0.15403,0,113.72685099083644,104.21139,0.05852041,104.24738,20.461,85.82000000000001,960.4353,3.7002,0,0.2695147473160582,0.428491384854091,removed
2024-09-01 08:50,0,0,0.21725,0,133.4579509075829,122.2916,0.36488969,122.2654,20.56,85.52000000000001,960.5489,3.6817,0,0.3156152523738487,0.3116619099806187,removed
2024-09-01 09:00,0,0,0.2061,0,144.51236767634182,132.4211,0.3648927,132.5137,20.668,84.97999999999999,960.6119,3.4654,0,0.3412006814713817,0.3959566577908881,removed
2024-09-01 09:10,0,0,0.26761,0,182.47639638307743,167.2087,0.5060411,167.3094,20.857,84.34,960.641,3.1942,0,0.42890543489237565,0.37606293082494785,removed
2024-09-01 09:20,0,0,0.29828,0,215.23073312370408,197.2225,0.8985263,197.4011,21.13,83.3,960.7057,3.0041,0,0.5036711363923493,0.4077881807234511,removed
2024-09-01 09:30,0,0,0.42398,0,284.03887090809815,260.2735,1.2290718,260.9884,21.416,82.11999999999999,960.6751,3.0728999999999997,0,0.659846923537519,0.35745703302367143,removed
2024-09-01 09:40,0,0,0.52309,0,362.33725195272046,332.0207,18.7644701,322.8347,21.706,81.03999999999999,960.635,3.3091,0,0.8353402234847603,0.3738000573971605,removed
2024-09-01 09:50,0,0,0.6930000000000001,0,480.75707090593033,440.53239999999994,136.93062,362.7323,22.355,78.277,960.6527,3.028,0,1.0922008633526983,0.3655013255778635,removed
2024-09-01 10:00,0,0,0.7022,0,495.6514774357073,454.1806,101.349374,395.6026,22.896,76.423,960.7815,2.6754,0,1.1200773990060455,0.37307903844579765,removed
2024-09-01 10:10,0,0,0.72994,0,531.527722468983,487.0551,193.920911,366.2702000000001,23.238999999999997,74.664,960.8563,3.2941000000000003,0,1.1989009064969234,0.39115902236422806,removed
2024-09-01 10:20,0,0,1.3951300000000002,0,663.9003663548441,608.3522,446.4791,314.4143,23.375,74.048,960.8754,3.3281,0,1.4785849235034394,0.056442428281830825,valid
2024-09-01 10:30,0,0,1.34846,0,704.9045642934676,645.9255999999999,587.3009,243.0099,23.507,73.666,960.9342,3.3518,0,1.563255695636794,0.13740279100617428,valid
2024-09-01 10:40,0,0,1.39666,0,742.4805234407017,680.3576,651.8618,217.8418,24.399,69.983,961.0156,2.2829,0,1.621871201138909,0.13885886929909189,valid
2024-09-01 10:50,0,0,1.48698,0,772.3290311147234,707.7086999999999,672.2068,215.4793,24.645,68.933,961.0363,2.8805,0,1.6878546068420572,0.11901179522677591,valid
2024-09-01 11:00,0,0,1.49499,0,795.591378500366,729.0247,678.6677999999999,216.89,24.66,68.508,961.1301,3.2802999999999995,0,1.739846888677509,0.14073473376937742,valid
2024-09-01 11:10,0,0,1.58232,0,822.2957151736006,753.4947,697.9300999999999,212.13449999999995,25.204,66.42999999999999,961.125,2.9053,0,1.784155798906403,0.1131267790795614,valid
2024-09-01 11:20,0,0,1.6311099999999998,0,850.8826693864758,779.6898,715.9483,209.87849999999997,25.592,64.993,961.0113,2.7442,0,1.8352925062360967,0.11125338633613445,valid
2024-09-01 11:30,0,0,1.68272,0,880.5732646160095,806.8962,744.766,200.7025,26.020999999999997,63.352,960.9176,2.3240000000000003,0,1.882774512233501,0.10625516275774304,valid
2024-09-01 11:40,0,0,1.70348,0,897.4810275302756,822.3893,758.8002,191.9808,26.442,61.072,960.9186,1.817,0,1.9023173455647036,0.10452375153299068,valid
2024-09-01 11:50,0,0,1.7216600000000002,0,913.7041030383796,837.2549999999999,757.5418,197.2848,26.845999999999997,60.230999999999995,960.8807,2.778,0,1.9479858414851805,0.11618454131711003,valid
2024-09-01 12:00,0,0,1.79573,0,934.2139503031708,856.0487999999999,779.8901,186.5632,27.079,59.35,960.7345,3.3653999999999997,0,1.9961875286795012,0.1004201888848118,valid
2024-09-01 12:10,0,0,1.81679,0,946.60642130957,867.4044,784.63,184.2444,27.107999999999997,58.871,960.595,3.3479,0,2.019659150178286,0.100447221582106,valid
2024-09-01 12:20,0,0,1.82403,0,964.814260900535,884.0888000000001,800.3732,178.7237,27.17,58.516,960.4925,3.6555,0,2.060004038798287,0.11455027968583183,valid
2024-09-01 12:30,0,0,1.88074,0,973.9783118341744,892.4861000000001,800.6657,179.53730000000002,27.501,57.57000000000001,960.4176,2.7472000000000003,0,2.0569645836344574,0.08567215256719957,valid
2024-09-01 12:40,0,0,1.88724,0,984.1809617548148,901.8351,805.4123,178.7515,27.835,56.345000000000006,960.4026,2.9953,0,2.078353888061396,0.09195444970137358,valid
2024-09-01 12:50,0,0,1.88206,0,994.0553458613438,910.8833,816.7675,173.0201,28.274,54.392,960.3515,3.7704,0,2.108472587095503,0.10738227685824184,valid
2024-09-01 13:00,0,0,1.9068699999999998,0,998.854923821658,915.2813,823.3538000000001,167.67000000000002,28.407,53.562,960.2956,3.6403,0,2.1139199406260385,0.09794597072806868,valid
2024-09-01 13:10,0,0,1.9017300000000001,0,1001.783561251012,917.9649,830.6304,161.1791,29.071999999999996,51.634,960.1833,2.7283999999999997,0,2.0943468168072195,0.09196987588753755,valid
2024-09-01 13:20,0,0,1.9083599999999998,0,1003.381347083594,919.429,837.6926,155.6615,29.23,50.504,960.0541,3.7579,0,2.1171282685601334,0.09860917340738999,valid
2024-09-01 13:30,0,0,1.9041700000000001,0,1001.504186090066,917.7089,831.7452,159.734,29.883,48.402,959.9995,3.383,0,2.0999570796906206,0.09323384824582467,valid
2024-09-01 13:40,0,0,1.88246,0,999.4446673254672,915.8217,828.1106,162.6098,29.942,47.217,959.8591,3.9241,0,2.1061028699367124,0.10618800872885792,valid
2024-09-01 13:50,0,0,1.85948,0,991.7404607386928,908.7621,822.8770000000001,163.30360000000002,30.4,45.131,959.8015,2.9049,0,2.066907725503848,0.10035654855046017,valid
2024-09-01 14:00,0,0,1.84433,0,984.720177641625,902.3292,822.3579,161.3758,30.547000000000004,43.806,959.7179,3.2916,0,2.0602392394199254,0.10479813959893128,valid
2024-09-01 14:10,0,0,1.83653,0,979.4172878679192,897.47,827.9375,157.1788,30.839999999999996,42.395,959.6143,3.7329,0,2.0559607624443204,0.10672906139679453,valid
2024-09-01 14:20,0,0,1.81781,0,970.4232629111368,889.2284999999999,828.7664000000001,154.6492,30.9,42.083,959.578,4.1855,0,2.0463485157379147,0.11168113055048376,valid
2024-09-01 14:30,0,0,1.79116,0,958.654365994443,878.4442999999999,826.1637999999999,153.4022,30.863,41.712,959.4829,3.7516,0,2.0164840139875633,0.11174103658872492,valid
2024-09-01 14:40,0,0,1.7510999999999999,0,942.8998986664568,864.008,820.9941000000001,152.9847,31.151999999999997,40.666,959.4446,3.0852,0,1.9718256052108192,0.11193971953073419,valid
2024-09-01 14:50,0,0,1.72293,0,928.31618787231,850.6445,818.7265,151.8017,31.501,39.981,959.3238,3.7541,0,1.9527675386267858,0.11769836095719348,valid
2024-09-01 15:00,0,0,1.6873,0,908.2137263402576,832.2239999999999,810.9211,151.0197,31.413,40.332,959.2182,3.1117,0,1.9042297806534776,0.11391996011060883,valid
2024-09-01 15:10,0,0,1.63772,0,888.2584824223134,813.9384,806.7687,149.2202,31.609,39.797,959.126,3.2141999999999995,0,1.8661961327939312,0.12242878911761192,valid
2024-09-01 15:20,0,0,1.59816,0,867.7021453846461,795.1020000000001,801.5884,148.4265,32.1,38.579,959.1309,3.1604,0,1.8219200076463828,0.12281549503122449,valid
2024-09-01 15:30,0,0,1.54029,0,841.0570668021901,770.6863000000001,788.2305,149.7287,32.17,38.405,959.1166,3.5591,0,1.7758736266307678,0.13265787784557792,valid
2024-09-01 15:40,0,0,1.4899300000000002,0,813.0243885433949,744.9991,773.613,151.2837,32.245,38.43,959.0609,3.4153,0,1.7188493539602403,0.13318174360819254,valid
2024-09-01 15:50,0,0,1.43768,0,786.5521733417743,720.7418,767.7466999999999,147.7464,32.038,38.961,959.0122,3.6468,0,1.6715555651896623,0.1399149212028292,valid
2024-09-01 16:00,0,0,1.37216,0,758.7779171068543,695.2914,761.8272,143.9503,31.895999999999997,39.495,958.9621,3.9181,0,1.6208113728429274,0.15341166591568836,valid
2024-09-01 16:10,0,0,1.31362,0,729.689615437188,668.6369,756.2663,139.5387,32.2,38.739,958.9584,3.2741,0,1.5539978211755574,0.15468349948761065,valid
2024-09-01 16:20,0,0,1.23292,0,696.6671440206065,638.3774000000001,744.2695,136.5577,32.022,38.963,958.9433,3.8478,0,1.4951635761841597,0.17539457244767653,valid
2024-09-01 16:30,0,0,1.17021,0,665.327144032269,609.6596,737.0197000000001,131.922,31.993,38.775,958.862,3.9604,0,1.4331586695214107,0.18347491810465053,valid
2024-09-01 16:40,0,0,1.1039,0,632.4267901176793,579.512,729.6123,126.7232,31.818,38.807,958.7375,3.954099999999999,0,1.3673535563070274,0.19267405645878985,valid
2024-09-01 16:50,0,0,1.0278399999999999,0,597.2631700066603,547.2905000000001,712.8755,124.89079999999998,31.711,38.967,958.7626,4.3141,0,1.298423856243036,0.20839408868069104,removed
2024-09-01 17:00,0,0,0.94302,0,560.4300650471447,513.5391999999999,692.1596,123.6586,31.561,39.33,958.642,3.8303,0,1.2202044029443468,0.22716227074373962,removed
2024-09-01 17:10,0,0,0.8648300000000001,0,522.0005929570361,478.3251,668.8543,121.5992,31.568,39.547,958.6163,3.1391,0,1.1367118404220138,0.23918272930197973,removed
2024-09-01 17:20,0,0,0.7794800000000001,0,482.088249895469,441.7522,642.6536,119.2556,31.659,39.359,958.6311,4.1905,0,1.058249608348863,0.26342519397083836,removed
2024-09-01 17:30,0,0,0.69492,0,440.9872528288146,404.0901,611.0130999999999,116.782,31.555,39.639,958.6156,3.5616,0,0.969589994831272,0.2832846835213786,removed
2024-09-01 17:40,0,0,0.6166699999999999,0,403.6117671857437,369.8418,584.7958000000001,113.9553,31.594,39.739999999999995,958.6213,3.9652,0,0.8916063159471892,0.3083606643758612,removed
2024-09-01 17:50,0,0,0.53555,0,362.68319697623554,332.3377,551.6886999999999,108.9506,31.655,39.773,958.5536,3.2554000000000003,0,0.8020489249926919,0.33227265405925227,removed
2024-09-01 18:00,0,0,0.45365,0,324.45267055737884,297.3059,519.9846,104.5825,31.594,39.679,958.5198,3.5491,0,0.720913734762774,0.37072914812854907,removed
2024-09-01 18:10,0,0,0.37943,0,284.8250500719477,260.9939,482.0298,98.45365,31.356,40.025,958.5819,3.5002000000000004,0,0.6357206642019482,0.4031498087665321,removed
2024-09-01 18:20,0,0,0.30759,0,245.73686373517128,225.1762,441.1807,91.39704,31.206,40.63,958.617,3.6116,0,0.5509223975926382,0.44168180247513283,removed
2024-09-01 18:30,0,0,0.21077,0,208.3034295723885,190.8748,398.6612,83.84365,30.917,40.914,958.5581,4.4854,0,0.4698547041270379,0.5514145157031084,removed
2024-09-01 18:40,0,0,0.14880000000000002,0,171.02594349749316,156.7163,347.91790000000003,75.20399,30.43,41.858,958.6233,3.9253,0,0.38743800427406766,0.6159385544048457,removed
2024-09-01 18:50,0,0,0.12813,0,133.2530030356077,122.1038,284.3985,65.22276000000001,30.008999999999997,43.591,958.6833,4.2241,0,0.30348291621990464,0.5778016054545996,removed
2024-09-01 19:00,0,0,0.092,0,97.88060455724276,89.69099,218.6531,54.04015,29.752,44.537,958.7957,4.0439,0,0.22378742536056184,0.5888955786869104,removed
2024-09-01 19:10,0,0,0.06787,0,67.54780658957655,61.89612,156.00830000000002,42.34087,29.125,46.722,958.8124,4.7328,0,0.15528916498727213,0.562944394700282,removed
2024-09-01 19:20,0,0,0.05074,0,41.73386911093488,38.24202,94.47862,29.704379999999997,28.6,48.345,958.9356,4.6152999999999995,0,0.09634228643656817,0.47333614473217583,removed
2024-09-01 19:30,0,0,0.03407,0,21.26458580994203,19.48539,35.8538979,16.98765,28.049,50.117,959.118,4.7516,0,0.049280309492164505,0.30864882239797864,removed
2024-09-01 19:40,0,0,0.01924,0,6.368136349300645,5.835318,0.1238147,5.322723,27.563,51.908,959.2278,4.2729,0,0.014803997718441228,0.2996489438817515,removed
2024-09-01 19:50,0,0,0.0035499999999999998,0,0.0884670148567991,0.08106503,0,0.0046777699999999,27.101,53.024,959.3363000000002,4.6806,0,0.00020614888533457748,16.220563643787774,removed
2024-09-02 07:00,0,0,0.0016899999999999999,0,0.6672863636717559,0.6090449,0,0.2372465,18.756,89.33,959.8424,1.5481,0,0.0016071778868462431,0.05153263607694239,valid
2024-09-02 07:10,0,0,0.00782,0,7.827126968177586,7.143967000000001,0.0240967999999999,6.417833,18.775,89.41,959.8446,1.4249,0,0.018836359394938405,0.5848454663643048,removed
2024-09-02 07:20,0,0,0.03064,0,21.15895620630664,19.31218,3.8279764,18.31199,18.759,89.5,959.8433,1.4086,0,0.050852171096008675,0.39746918686811195,removed
2024-09-02 07:30,0,0,0.057530000000000005,0,41.65281171631496,38.017309999999995,38.769169999999995,33.15432,18.825,89.4,959.8608,1.1825,0,0.09985516870421357,0.42386557704976946,removed
2024-09-02 07:40,0,0,0.09152,0,68.36295109520013,62.396159999999995,94.72586,48.28994,19.044,89.03999999999999,959.849,1.5921,0,0.16332556911315246,0.4396468324160887,removed
2024-09-02 07:50,0,0,0.13083,0,102.247423930087,93.32316,163.63629999999998,63.19727,19.368,88.24,959.8865,1.4135,0,0.24306466955431963,0.46174818314859056,removed
